address,name,symbol,network,pair_address,dex_id,url,price_usd,price_native,liquidity_usd,volume_24h,volume_6h,volume_1h,price_change_24h,price_change_6h,price_change_1h,buys_24h,sells_24h,fdv,market_cap,age_hours,risk_score,risk_level,risk_factors,info,security_score,security_issues,contract_verified,ownership_renounced,liquidity_locked,honeypot_probability
0xd65958e56e189a1208287dceacd5f5c8de40769728d71077da490d60874b64e9::slerf::SLERF,SLERF,SLERF,sui,0x475c58a877b91fdaf24588dec00efa2e62033c9770b6e59899c3df90df7310cb,cetus,https://dexscreener.com/sui/0x475c58a877b91fdaf24588dec00efa2e62033c9770b6e59899c3df90df7310cb,111.53,43.29,3899713.04,56334.18,0.0,0.0,222110572.0,0.0,0.0,602,497,111536796537.0,111536796537.0,38.25716920552571,160,Скам,"['Неверифицированный контракт', 'Аномальный рост цены: 222110572.00%', 'Молодой токен (<7 дней): 38.26 часов', 'Нет информации о сайте и социальных сетях', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Экстремальный рост >500% - подозрение на памп-схему']",{},0.48300000000000004,[],False,True,False,0.3
0x3066818837c5e6eD6601bd5a91B0762877A6B731,UMA Voting Token v1 (PoS),UMA,polygon,0x6be10c5C7178af8C49997D07d6A5444C15e58170,sushiswap,https://dexscreener.com/polygon/0x6be10c5c7178af8c49997d07d6a5444c15e58170,1.27,0.0003142,1479.11,1035.22,39.72,0.0,971.0,14.21,0.0,7,9,27206.0,27206.0,37276.14189143636,95,Скам,"['Proxy контракт', 'Аномальный рост цены: 971.00%', 'Низкая ликвидность: $1479.11', 'Нет информации о сайте и социальных сетях', 'Экстремальный рост >500% - подозрение на памп-схему', 'Критически низкая ликвидность (<$25K)']",{},0.363,[],False,True,True,0.3
CizLY8YaSc1MXpEwf9tD89S4A1RgMCR67gXoX5pLpump,Alpha Arena,Arena,solana,2AgmcNzjvVqxTiJPmyNTqE2dRNEQaLrPW5VqgqbVfLiS,meteora,https://dexscreener.com/solana/2agmcnzjvvqxtijpmyntqe2drneqalrpw5vqgqbvflis,0.00722,3.77e-05,153817.15,317371.87,249149.49,52571.69,353.0,94.76,-10.85,905,1169,7220678.0,7220678.0,39.57772477362739,110,Высокий,"['Аномальный рост цены: 353.00%', 'Молодой токен (<7 дней): 39.58 часов', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/CizLY8YaSc1MXpEwf9tD89S4A1RgMCR67gXoX5pLpump.png?key=75fbce', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/CizLY8YaSc1MXpEwf9tD89S4A1RgMCR67gXoX5pLpump/header.png?key=75fbce', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/CizLY8YaSc1MXpEwf9tD89S4A1RgMCR67gXoX5pLpump?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://nof1.ai/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/i/communities/1978973338597752970'}]}",0.48300000000000004,[],False,True,False,0.3
0x7d43AABC515C356145049227CeE54B608342c0ad,Binance USD,BUSD,linea,0x8b1251076F23fFa2a2a6459583C587C1CDbB2c6E,syncswap,https://dexscreener.com/linea/0x8b1251076f23ffa2a2a6459583c587c1cdbb2c6e,1.66,1.6617,375.45,221.5,106.23,38.91,256.0,47.02,-45.69,14,7,278639.0,278639.0,0.0,115,Скам,"['Аномальный рост цены: 256.00%', '🚨 КРИТИЧНО: Новый токен (<24ч): 0.00 часов', 'Низкая ликвидность: $375.45', 'Нет информации о сайте и социальных сетях', 'Критически низкая ликвидность (<$25K)']",{},0.5830000000000001,[],False,False,True,0.3
2oeAQrHyEL4UR7mdkVyzvDdvp3vBC55QBr551Veepump,The Pnyx,PNYX,solana,iB9XbMuYy4f37ePaXHx9c195uQ2zVZ1w9zdcbVPfjxz,pumpswap,https://dexscreener.com/solana/ib9xbmuyy4f37epaxhx9c195uq2zvz1w9zdcbvpfjxz,0.001231,6.429e-06,156486.16,896547.75,643566.64,111531.49,197.0,45.8,-14.07,1914,1983,1208795.0,1208795.0,420.92578033413355,100,Высокий,"['Аномальный рост цены: 197.00%', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!', 'Высокое соотношение объем/ликвидность - повышенная волатильность']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/2oeAQrHyEL4UR7mdkVyzvDdvp3vBC55QBr551Veepump.png?key=394b45', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/2oeAQrHyEL4UR7mdkVyzvDdvp3vBC55QBr551Veepump/header.png?key=394b45', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/2oeAQrHyEL4UR7mdkVyzvDdvp3vBC55QBr551Veepump?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://pnyx.vc'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/pnyxvc'}]}",0.463,[],False,True,False,0.3
7KK1qVc4L5qGfKHapfTtnoyhLqES7PKKirD9QmQLpump,Polytrend,POLYTREND,solana,384JaoVaA3QVwdU9e9AXJdyh5v1ZLFPGJQCwZXEWLNq7,pumpswap,https://dexscreener.com/solana/384jaovaa3qvwdu9e9axjdyh5v1zlfpgjqcwzxewlnq7,0.0002678,1.398e-06,64505.17,142870.56,28547.48,6315.11,83.76,30.74,11.54,714,764,267848.0,267848.0,84.68550255777994,80,Высокий,"['Молодой токен (<7 дней): 84.69 часов', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/7KK1qVc4L5qGfKHapfTtnoyhLqES7PKKirD9QmQLpump.png?key=18f8df', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/7KK1qVc4L5qGfKHapfTtnoyhLqES7PKKirD9QmQLpump/header.png?key=18f8df', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/7KK1qVc4L5qGfKHapfTtnoyhLqES7PKKirD9QmQLpump?timestamp=1760958300000', 'websites': [{'label': 'Website', 'url': 'https://www.polytrend.xyz/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/Poly_trendAI'}]}",0.463,[],False,True,False,0.3
2k9LnRAWJJBmmEzgXARwSEzoU1DorBYQHTXZtxusbonk,3I/ATLAS,ATLAS,solana,3JcejPoY3sAMcBhdEba3tmLPH4iVBWd6Xyh8pSJ6HYNZ,raydium,https://dexscreener.com/solana/3jcejpoy3samcbhdeba3tmlph4ivbwd6xyh8psj6hynz,0.0003673,1.899e-06,76872.65,4966.13,1347.4,26.98,20.63,6.9,0.15,26,21,367309.0,367309.0,1988.5541136699762,60,Средний,['🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!'],"{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/solana/2k9LnRAWJJBmmEzgXARwSEzoU1DorBYQHTXZtxusbonk.png?key=158d78', 'header': 'https://dd.dexscreener.com/ds-data/tokens/solana/2k9LnRAWJJBmmEzgXARwSEzoU1DorBYQHTXZtxusbonk/header.png?key=158d78', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/solana/2k9LnRAWJJBmmEzgXARwSEzoU1DorBYQHTXZtxusbonk?timestamp=1760957700000', 'websites': [{'label': 'Website', 'url': 'https://atlascto.com/'}], 'socials': [{'type': 'twitter', 'url': 'https://x.com/atlas__cto?s=21'}, {'type': 'telegram', 'url': 'https://t.me/ATLAS_PORTAL_1'}]}",0.48300000000000004,[],False,True,False,0.3
0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,Orchid,OXT,ethereum,0x9B533F1cEaa5ceb7e5b8994ef16499E47A66312D,uniswap,https://dexscreener.com/ethereum/0x9b533f1ceaa5ceb7e5b8994ef16499e47a66312d,0.04191,1.042e-05,2274.56,919.11,40.26,36.22,47.8,0.24,-0.53,15,21,41913725.0,24793843.0,0.0,85,Скам,"['🚨 КРИТИЧНО: Новый токен (<24ч): 0.00 часов', 'Низкая ликвидность: $2274.56', 'Нет информации о сайте и социальных сетях', 'Критически низкая ликвидность (<$25K)']",{},0.403,[],False,True,True,0.0
0x1B71505D95Ab3e7234ed2239b8EC7aa65b94ae7B,PEPE,PEPE,pulsechain,0x660936bf7C13540221aa5cb3d9373A7Ef2B1435D,9mm,https://dexscreener.com/pulsechain/0x660936bf7c13540221aa5cb3d9373a7ef2b1435d,0.002291,72.02586,4884.17,7024.02,9.8,0.0,43.55,1.99,0.0,25,50,2291647.0,2291282.0,6211.604391450263,15,Умеренный,"['Неверифицированный контракт', 'Низкая ликвидность: $4884.17', 'Недостаточная ликвидность для низкого риска (<$100K)']","{'imageUrl': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x1b71505d95ab3e7234ed2239b8ec7aa65b94ae7b.png?key=745c7d', 'header': 'https://dd.dexscreener.com/ds-data/tokens/pulsechain/0x1b71505d95ab3e7234ed2239b8ec7aa65b94ae7b/header.png?key=745c7d', 'openGraph': 'https://cdn.dexscreener.com/token-images/og/pulsechain/0x1b71505d95ab3e7234ed2239b8ec7aa65b94ae7b?timestamp=1760958000000', 'websites': [], 'socials': [{'type': 'telegram', 'url': 'https://t.me/RichardHeartPepe'}]}",0.363,[],False,True,True,0.3
METADDFL6wWMWEoKTFJwcThTbUmtarRJZjRpzUvkxhr,META,META,solana,6t2CdBC26q9tj6jBwPzzFZogtjX8mtmVHUmAFmjAhMSn,meteora,https://dexscreener.com/solana/6t2cdbc26q9tj6jbwpzzfzogtjx8mtmvhumafmjahmsn,8904.72,8904.7214,656432.5,118578.55,27895.47,5211.26,42.84,11.94,-4.34,144,32,185780335.0,185983922.0,14819.871891451416,80,Высокий,"['Нет информации о сайте и социальных сетях', '🚨 КРИТИЧНО: Ликвидность НЕ заблокирована - высокий риск rug pull!']",{},0.48300000000000004,[],False,True,False,0.3
